# electricity, temperature, time
0.000 211.550 0.000
0.000 213.950 60.000
0.012 215.650 120.000
0.024 217.650 180.000
0.042 219.450 240.000
0.096 220.850 300.000
0.102 222.350 360.000
0.105 223.750 420.000
0.108 225.450 480.000
0.108 227.250 540.000
0.117 228.750 600.000
0.123 229.850 660.000
0.129 231.350 720.000
0.138 232.950 780.000
0.156 234.750 840.000
0.180 236.650 900.000
0.207 238.250 960.000
0.234 239.450 1020.000
0.270 240.850 1080.000
0.300 242.150 1140.000
0.360 243.450 1200.000
0.440 244.950 1260.000
0.510 246.650 1320.000
0.620 248.050 1380.000
0.740 249.550 1440.000
0.870 251.050 1500.000
1.000 252.550 1560.000
1.170 254.050 1620.000
1.260 255.550 1680.000
1.350 256.950 1740.000
1.410 258.350 1800.000
1.410 259.750 1860.000
1.350 261.150 1920.000
1.260 262.750 1980.000
1.080 264.250 2040.000
0.930 265.650 2100.000
0.750 267.050 2160.000
0.600 268.450 2220.000
0.500 269.950 2280.000
0.430 271.350 2340.000
0.400 272.650 2400.000
0.390 273.950 2460.000
0.390 275.150 2520.000
0.410 276.750 2580.000
0.420 278.250 2640.000
0.440 279.550 2700.000
0.460 280.950 2760.000
0.480 282.350 2820.000
0.500 283.650 2880.000
0.520 285.050 2940.000
0.550 286.550 3000.000
0.570 288.050 3060.000
0.590 289.450 3120.000
0.610 290.850 3180.000
0.620 292.150 3240.000
0.640 293.650 3300.000
0.660 295.150 3360.000
0.680 296.650 3420.000
0.690 297.950 3480.000
0.710 299.450 3540.000
0.740 300.950 3600.000
0.780 302.450 3660.000
0.800 303.950 3720.000
0.870 305.350 3780.000
0.920 306.850 3840.000
0.990 308.250 3900.000
1.050 309.850 3960.000
1.110 311.350 4020.000
1.200 312.950 4080.000
1.260 314.550 4140.000
1.350 316.150 4200.000
1.380 317.750 4260.000
1.380 319.250 4320.000
1.380 320.750 4380.000
1.320 322.250 4440.000
1.260 323.750 4500.000
1.200 325.350 4560.000
1.110 326.650 4620.000
1.020 327.950 4680.000
0.930 329.950 4740.000
0.870 331.150 4800.000
0.760 332.750 4860.000
0.740 333.150 4875.000
